"table_name","column_name","data_type"
"listings","id","integer"
"listings","seller_id","integer"
"listings","title","text"
"listings","description","text"
"listings","price","numeric"
"listings","category","text"
"listings","image_url","text"
"listings","created_at","timestamp without time zone"
"listings","condition","character varying"
"listings","active","boolean"
"listings","year","character varying"
"listings","brand","character varying"
"listings","player_name","character varying"
"listings","card_number","character varying"
"listings","image_urls","jsonb"
"messages","id","integer"
"messages","sender_id","integer"
"messages","receiver_id","integer"
"messages","listing_id","integer"
"messages","content","text"
"messages","timestamp","timestamp without time zone"
"messages","is_read","boolean"
"messages","seen_at","timestamp without time zone"
"order_items","id","integer"
"order_items","order_id","integer"
"order_items","listing_id","integer"
"order_items","quantity","integer"
"order_items","price","numeric"
"order_items","created_at","timestamp without time zone"
"orders","id","integer"
"orders","buyer_id","integer"
"orders","listing_id","integer"
"orders","price_at_purchase","numeric"
"orders","status","text"
"orders","created_at","timestamp without time zone"
"orders","shipping_status","character varying"
"orders","has_shipping_label","boolean"
"orders","subtotal","numeric"
"orders","tax_amount","numeric"
"orders","tax_rate","numeric"
"orders","shipping_info","jsonb"
"orders","payment_id","character varying"
"orders","is_paid","boolean"
"seller_profiles","id","integer"
"seller_profiles","user_id","integer"
"seller_profiles","business_name","character varying"
"seller_profiles","phone_number","character varying"
"seller_profiles","address","text"
"seller_profiles","description","text"
"seller_profiles","created_at","timestamp without time zone"
"seller_profiles","rating","numeric"
"seller_profiles","image_url","text"
"seller_profiles","offers_free_shipping","boolean"
"seller_profiles","standard_shipping_fee","numeric"
"seller_profiles","shipping_policy","text"
"seller_profiles","uses_calculated_shipping","boolean"
"seller_profiles","stripe_account_id","character varying"
"shipping_info","id","integer"
"shipping_info","order_id","integer"
"shipping_info","shipping_method_id","integer"
"shipping_info","weight_oz","numeric"
"shipping_info","length_in","numeric"
"shipping_info","width_in","numeric"
"shipping_info","height_in","numeric"
"shipping_info","from_name","character varying"
"shipping_info","from_street1","character varying"
"shipping_info","from_street2","character varying"
"shipping_info","from_city","character varying"
"shipping_info","from_state","character varying"
"shipping_info","from_zipcode","character varying"
"shipping_info","to_name","character varying"
"shipping_info","to_street1","character varying"
"shipping_info","to_street2","character varying"
"shipping_info","to_city","character varying"
"shipping_info","to_state","character varying"
"shipping_info","to_zipcode","character varying"
"shipping_info","shipping_cost","numeric"
"shipping_info","is_free_shipping","boolean"
"shipping_info","created_at","timestamp with time zone"
"shipping_info","updated_at","timestamp with time zone"
"shipping_labels","id","integer"
"shipping_labels","shipping_info_id","integer"
"shipping_labels","label_url","character varying"
"shipping_labels","tracking_number","character varying"
"shipping_labels","label_generated_at","timestamp with time zone"
"shipping_labels","is_voided","boolean"
"shipping_labels","voided_at","timestamp with time zone"
"shipping_methods","id","integer"
"shipping_methods","name","character varying"
"shipping_methods","display_name","character varying"
"shipping_methods","provider","character varying"
"shipping_methods","service_code","character varying"
"shipping_methods","description","character varying"
"shipping_methods","is_active","boolean"
"shipping_methods","created_at","timestamp with time zone"
"subscriptions","id","integer"
"subscriptions","user_id","integer"
"subscriptions","tier","text"
"subscriptions","expires_at","timestamp without time zone"
"subscriptions","created_at","timestamp without time zone"
"tracking_history","id","integer"
"tracking_history","shipping_label_id","integer"
"tracking_history","status","character varying"
"tracking_history","status_details","character varying"
"tracking_history","location","character varying"
"tracking_history","timestamp","timestamp with time zone"
"tracking_history","recorded_at","timestamp with time zone"
"user_shipping_addresses","id","integer"
"user_shipping_addresses","user_id","integer"
"user_shipping_addresses","name","character varying"
"user_shipping_addresses","address_line1","character varying"
"user_shipping_addresses","address_line2","character varying"
"user_shipping_addresses","city","character varying"
"user_shipping_addresses","state","character varying"
"user_shipping_addresses","postal_code","character varying"
"user_shipping_addresses","country","character varying"
"user_shipping_addresses","phone","character varying"
"user_shipping_addresses","is_default","boolean"
"user_shipping_addresses","created_at","timestamp without time zone"
"user_shipping_addresses","updated_at","timestamp without time zone"
"users","id","integer"
"users","name","text"
"users","email","text"
"users","password_hash","text"
"users","role","text"
"users","created_at","timestamp without time zone"
"users","username","character varying"
"users","favorite_sport","character varying"
"users","favorite_team","character varying"
"users","favorite_players","text"
"users","business_name","character varying"
"users","business_description","text"
"users","image_url","text"
"users","subscription_tier","character varying"
"users","stripe_customer_id","character varying"
"users","stripe_subscription_id","character varying"
"users","subscription_status","character varying"
"users","subscription_period_end","timestamp without time zone"
"users","subscription_id","character varying"
